OxySoft export of:	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD013_ONOFF_06_29_23
Export date:	2023/07/26 10:08:57
Start of measurement:	2023-06-29 14:12:18.024

Datafile sample rate:	10.00	Hz
Datafile duration:	2643.600	s
Datafile total number of samples:	26436

Description:	

Optode-template:	PortaMon TSI
Optode distance (mm):	 32.50
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1328
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	758	nm
1	2	853	nm
1	3	758	nm
1	4	853	nm
1	5	757	nm
1	6	852	nm

Export sample rate:	10.00	Hz
Selected time span:	0	2643.600
Selected time span (sample numbers):	0	26436


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
3	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
4	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
5	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
6	Rx1-Tx3 O2Hb (LIGHTSHIELD013_ONOFF_06_29_23)
7	Rx1-Tx3 HHb (LIGHTSHIELD013_ONOFF_06_29_23)
8	Rx1-Tx1,Tx2 TSI% (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
9	Rx1-Tx1,Tx2 TSI Fit Factor (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
10	(Event)


1	2	3	4	5	6	7	8	9	10
    75	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    76	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    77	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    78	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    79	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    80	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    81	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    82	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    83	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    84	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    85	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    86	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    87	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    88	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    89	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    90	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    91	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    92	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    93	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    94	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    95	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    96	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    97	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    98	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
    99	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   100	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   101	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   102	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   103	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   104	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   105	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   106	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   107	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   108	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   109	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   110	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   111	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   112	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   113	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   114	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   115	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   116	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   117	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   118	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   119	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   120	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   121	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   122	-0.0517	 0.0770	-0.0325	 0.0483	-39.3663	-9.6320	 0.0000	100.0000	
   123	-0.0437	 0.0651	-0.0250	 0.0372	-39.3663	-9.6320	 0.0000	100.0000	
   124	-0.0445	 0.0662	-0.0256	 0.0381	-39.3663	-9.6320	 0.0000	100.0000	
   125	 0.0401	 0.7553	 1.5478	 0.9331	-39.3663	-9.6320	 5.7626	100.0000	
   126	 0.3188	 2.1361	 3.4455	 2.9281	-39.3663	-9.6320	10.2024	100.0000	
   127	 0.2917	 3.2026	 4.6970	 4.4483	-39.3663	-9.6320	14.5081	100.0000	
   128	 0.1391	 4.1181	 5.8102	 5.5726	-39.3663	-9.6320	19.7107	100.0000	
   129	-0.2057	 4.6295	 5.3122	 6.4268	-39.3663	-9.6320	19.7107	100.0000	
   130	-0.2027	 4.6268	 5.1846	 6.6016	-39.3663	-9.6320	19.7107	100.0000	
   131	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   132	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   133	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   134	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   135	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   136	-0.2027	 4.6268	 5.1872	 6.5993	-39.3663	-9.6320	19.7107	100.0000	
   137	-0.1510	 4.5498	 5.2197	 6.5509	-39.3663	-9.6320	19.7107	100.0000	
   138	-0.1590	 4.5617	 5.2122	 6.5621	-39.3663	-9.6320	19.7107	100.0000	
